car_name, model, km/l,  odometer, km, litres, price, city_percentage, fuelup_date, date_added, tags, notes, missed_fuelup, partial_fuelup, latitude, longitude, brand
"V-strom 2012","Suzuki DL650A V-Strom ABS",18.85,73123.0,277,14.699,1.519,50,2020-12-22,2020-12-22 12:59:56,"","Offroad",0,0,,,""
"V-strom 2012","Suzuki DL650A V-Strom ABS",21.99,72846.0,322.995,14.691,1.469,50,2020-12-06,2020-12-06 15:51:37,"","",0,0,,,""
"V-strom 2012","Suzuki DL650A V-Strom ABS",23.35,72523.0,334.003,14.301,1.489,50,2020-11-07,2020-11-07 14:51:59,"","",0,0,,,""
"V-strom 2012","Suzuki DL650A V-Strom ABS",22.97,72189.0,321.998,14.021,1.479,50,2020-10-25,2020-10-25 16:11:17,"","",0,0,,,""
"V-strom 2012","Suzuki DL650A V-Strom ABS",22.97,71867.0,316.992,13.802,1.479,50,2020-10-04,2020-10-04 13:09:47,"","",0,0,,,""
"V-strom 2012","Suzuki DL650A V-Strom ABS",23.1,71550.0,194.006,8.4,1.549,50,2020-09-25,2020-09-26 06:39:46,"","",0,0,,,""
"V-strom 2012","Suzuki DL650A V-Strom ABS",23.03,71356.0,333.005,14.46,1.509,50,2020-09-20,2020-09-21 17:15:28,"","",0,0,,,""
"V-strom 2012","Suzuki DL650A V-Strom ABS",24.87,71023.0,335.001,13.468,1.519,50,2020-09-04,2020-09-04 18:59:52,"","",0,0,,,""
"V-strom 2012","Suzuki DL650A V-Strom ABS",22.58,70688.0,344.995,15.282,1.529,50,2020-08-11,2020-08-11 12:21:17,"","",0,0,,,""
"V-strom 2012","Suzuki DL650A V-Strom ABS",22.88,70343.0,357.999,15.649,1.529,50,2020-08-11,2020-08-11 08:10:54,"","",0,0,,,""
"V-strom 2012","Suzuki DL650A V-Strom ABS",25.17,69985.0,333.005,13.23,1.094,50,2020-08-10,2020-08-10 13:38:12,"","",0,0,,,""
"V-strom 2012","Suzuki DL650A V-Strom ABS",24.12,69652.0,357.001,14.801,1.449,50,2020-08-09,2020-08-09 13:26:28,"","",0,0,,,""
"V-strom 2012","Suzuki DL650A V-Strom ABS",25.48,69295.0,381.994,14.99,1.479,50,2020-08-08,2020-08-08 15:40:37,"","",0,0,,,""
"V-strom 2012","Suzuki DL650A V-Strom ABS",24.74,68913.0,379.998,15.361,1.477,50,2020-08-07,2020-08-07 17:12:47,"","",0,0,,,""
"V-strom 2012","Suzuki DL650A V-Strom ABS",23.81,68533.0,338.992,14.241,1.4,50,2020-08-06,2020-08-07 17:12:47,"","",0,0,,,""
"V-strom 2012","Suzuki DL650A V-Strom ABS",23.9,68194.0,352.994,14.771,1.474,50,2020-08-05,2020-08-05 20:07:33,"","",0,0,,,""
"V-strom 2012","Suzuki DL650A V-Strom ABS",23.19,67841.0,351.996,15.18,1.43,50,2020-08-04,2020-08-05 20:06:22,"","",0,0,,,""
"V-strom 2012","Suzuki DL650A V-Strom ABS",22.36,67489.0,330.994,14.801,1.519,50,2020-08-03,2020-08-05 20:05:55,"","",0,0,,,""
"V-strom 2012","Suzuki DL650A V-Strom ABS",21.92,67158.0,316.992,14.46,1.489,50,2020-08-03,2020-08-03 09:02:43,"","",0,0,,,""
"V-strom 2012","Suzuki DL650A V-Strom ABS",21.32,66841.0,252.007,11.822,1.489,50,2020-08-02,2020-08-02 17:15:16,"","",0,0,,,""
"V-strom 2012","Suzuki DL650A V-Strom ABS",26.17,66589.0,255.998,9.782,1.249,50,2020-07-25,2020-07-25 15:27:21,"","",0,0,,,""
"V-strom 2012","Suzuki DL650A V-Strom ABS",24.34,66333.0,359.994,14.79,1.239,50,2020-07-25,2020-07-25 08:19:55,"","",0,0,,,""
"V-strom 2012","Suzuki DL650A V-Strom ABS",0,65973.0,0,15.021,1.319,50,2020-07-24,2020-07-24 07:15:00,"","",0,0,,,""
