_id,title,date,mileage,price,recurrence_interval,recurrence_multiplier,end_date,note,car_id
1,car_wash,2020-12-22,73123.0,2.0,0,1,,,1
2,car_wash,2020-12-06,72846.0,1.0,0,1,,,1
3,"tire_a,tire_b",2020-12-06,72700.0,222.0,0,1,,,1
4,battery,2020-09-10,71024.0,78.0,0,1,,,1
5,engine_oil,2020-07-29,66840.0,12.0,0,1,,,1
6,,2020-07-17,65607.0,5000.0,0,1,,,1
1,car_wash,2020-11-15,166781.0,5.5,0,1,,,1
2,mot,2020-10-19,165088.0,78.0,0,1,,Apk and light adjustment,1
3,,2020-10-19,165088.0,,0,1,,,1
4,car_wash,2020-10-18,165060.0,3.0,0,1,,,1
5,"lights,Oil Additive",2020-10-18,165038.0,12.0,0,1,,Wynn's super charge 350ml,1
6,"air_filter,engine_oil,oil_filter",2020-10-17,164816.0,32.0,0,1,,,1
7,mot,2020-10-15,164519.0,20.0,0,1,,,1
8,engine_oil,2020-08-29,161384.0,22.0,0,1,,3 liters 5w-30,1
9,car_wash,2020-07-29,160055.0,3.0,0,1,,,1
10,lights,2020-06-12,157909.0,15.0,0,1,,Headlight bulbs H4 55W,1
11,parking,2020-02-14,155731.0,2.0,0,1,,,1
12,windshield_wipers,2020-02-09,155621.0,16.0,0,1,,,1
13,,2020-01-02,153775.0,1050.0,0,1,,,1
