car_name, model, odometer, price, service_date, date_added, tags, service_type, sub_service_types, notes, latitude, longitude
"Cuore 2008","Daihatsu Cuore",166781.0,5.50,2020-11-15,2020-11-15 12:05:44,"","service","car_wash","",,
"Cuore 2008","Daihatsu Cuore",165088.0,78.00,2020-10-19,2020-10-19 15:22:02,"","expense","mot","Apk and light adjustment",,
"Cuore 2008","Daihatsu Cuore",165088.0,,2020-10-19,2020-10-19 15:19:12,"","service","","",,
"Cuore 2008","Daihatsu Cuore",165060.0,3.00,2020-10-18,2020-10-18 09:42:57,"","service","car_wash","",,
"Cuore 2008","Daihatsu Cuore",165038.0,12.00,2020-10-18,2020-10-18 08:23:43,"","service","lights,Oil Additive","Wynn's super charge 350ml",,
"Cuore 2008","Daihatsu Cuore",164816.0,32.00,2020-10-17,2020-10-17 13:56:16,"","service","air_filter,engine_oil,oil_filter","",,
"Cuore 2008","Daihatsu Cuore",164519.0,20.00,2020-10-15,2020-10-15 13:47:24,"","expense","mot","",,
"Cuore 2008","Daihatsu Cuore",161384.0,22.00,2020-08-29,2020-08-29 11:03:57,"","service","engine_oil","3 liters 5w-30",,
"Cuore 2008","Daihatsu Cuore",160055.0,3.00,2020-07-29,2020-07-29 20:11:53,"","service","car_wash","",,
"Cuore 2008","Daihatsu Cuore",157909.0,15.00,2020-06-12,2020-06-12 17:13:31,"","service","lights","Headlight bulbs H4 55W",,
"Cuore 2008","Daihatsu Cuore",155731.0,2.00,2020-02-14,2020-02-14 21:43:22,"","expense","parking","",,
"Cuore 2008","Daihatsu Cuore",155621.0,16.00,2020-02-09,2020-02-09 15:53:47,"","service","windshield_wipers","",,
"Cuore 2008","Daihatsu Cuore",153775.0,1050.00,2020-01-02,2020-02-02 15:22:02,"","bought","","",,
